strain_id,strain_code,strain_name,genus,species,origin,environment,n_colonies,n_replicate_wells,timepoint_h,area_median,area_mean,area_var,area_sd,l_median,l_mean,l_var,l_sd,a_median,a_mean,a_var,a_sd,b_median,b_mean,b_var,b_sd
275,DBVPG_10075,10075,Cystobasidium,Cystobasidium sp.,Italy,soil,2,2,90.0,23441.0,23441.0,27114248.0,5207.134336657736,77.82068214399827,77.82068214399827,0.37625689689011804,0.6133978292186222,6.2959531176397245,6.2959531176397245,0.27562226742112433,0.5249973975374777,0.4422059364180386,0.4422059364180386,0.010902178456784362,0.10441349748372747
312,DBVPG_6740,6740,Pseudomicrostroma,Pseudomicrostroma phylloplanum,Italy,plant,3,3,90.0,30966.0,29122.0,72055821.0,8488.570020916362,75.15213728506924,75.19186476967941,0.04072139788160387,0.2017954357303551,10.082314221216887,9.951609388518422,0.5932756132823609,0.7702438661114809,1.9345170878219298,1.8328475905991735,0.09319666427968461,0.3052812871429964
326,NRRL_Y-17376,Y17376,Rhodotorula,Rhodotorula araucariae,America,plant,3,3,90.0,30599.0,30775.333333333332,3874726.3333333316,1968.432455872777,78.24135848877913,77.4034321759965,2.157742880407805,1.4689257572824452,4.522533049929251,5.782459772344141,5.289940673766184,2.2999871029564893,1.340001714938377,1.7316610018342729,0.6778561260585776,0.8233201844110088
185,DBVPG_3768,3768,Rhodotorula,Rhodotorula dairenensis,Italy,soil,4,4,90.0,37696.0,39026.5,21053643.666666664,4588.424965788006,75.1422168313805,75.09200747721025,0.31159579261149456,0.5582076608319655,6.162190637626922,6.147056447209698,0.0858760952784714,0.2930462340288157,5.913897100741888,6.064803078909382,0.21706433616836432,0.46590163786829975
194,DBVPG_3769,3769,Rhodotorula,Rhodotorula dairenensis,Italy,soil,4,4,90.0,37352.0,37634.0,2062752.6666666667,1436.2286261827073,78.10616841856837,77.93815718828999,0.4183596634091833,0.6468072845981122,7.806937605059517,7.801107808650565,0.012956972722023244,0.11382869902631429,6.324796491150275,6.317987850562259,0.009699742253286887,0.09848726949858487
203,DBVPG_3770,3770,Rhodotorula,Rhodotorula dairenensis,Italy,soil,4,4,90.0,52965.0,54314.75,173163292.91666666,13159.152439145413,75.8376871267335,75.83374977293006,0.1719812317205348,0.41470619927912195,9.682637335808348,9.747177669517548,0.5307890740940894,0.7285527256788553,8.479802899169169,8.454671935621564,0.052508329007146304,0.2291469594106505
221,DBVPG_3772,3772,Rhodotorula,Rhodotorula dairenensis,Italy,soil,4,4,90.0,26357.0,27349.5,55071511.0,7421.018191596083,74.73370325508765,74.4385701326526,1.2287673236119014,1.1084977779012015,10.120251173954252,9.677250175115107,3.889922279453309,1.9722885892924769,5.065542073667994,5.1615572053392675,0.09364193267194264,0.3060096937548591
230,DBVPG_3773,3773,Rhodotorula,Rhodotorula dairenensis,Italy,soil,3,3,90.0,18507.0,15523.0,199749217.0,14133.266324526683,75.7381748034704,74.20216114223595,10.282777298370485,3.2066769869087977,7.704691970908673,5.879372300740741,10.677854539075021,3.2676986609959955,0.6611109768905887,0.5180096749703692,0.31869051544507887,0.5645268066665027
192,DBVPG_3853,Y3853,Rhodotorula,Rhodotorula dairenensis,Italy,plant,4,4,90.0,31291.5,30803.25,8166971.583333331,2857.7913820524636,77.69723981470594,77.54056428122941,1.624191755765992,1.2744378194976764,7.448285411659858,7.470642197865176,0.09823009925489389,0.3134168139313746,5.847881620008355,5.8887698028907565,0.056245872727509694,0.23716212329861971
321,NRRL_Y-2504,Y2504,Rhodotorula,Rhodotorula dairenensis,America,soil,4,4,90.0,24684.0,23461.0,52815734.666666664,7267.4434752990455,74.51856173950682,74.38867478540139,1.2088664882337523,1.0994846466566746,7.011696103960602,6.839177414840712,0.3494394639538927,0.5911340490564663,6.995639925848985,7.083587693501336,0.31127894532189765,0.5579237809252243
