strain_id,species,copper_mm,n_wells,sd_log10_asat,median_asat
1.0,Rhodotorula mucilaginosa,0.0,4,0.06306814342357317,35615.975000000006
1.0,Rhodotorula mucilaginosa,5.0,4,0.048295375782068974,37717.425
1.0,Rhodotorula mucilaginosa,10.0,4,0.04003782361785934,35943.675
1.0,Rhodotorula mucilaginosa,15.0,4,0.08512328122845611,30629.299999999996
1.0,Rhodotorula mucilaginosa,20.0,4,0.14349134349345455,28114.35
1.0,Rhodotorula mucilaginosa,25.0,4,0.059677858214115614,20874.1
1.0,Rhodotorula mucilaginosa,30.0,4,0.2226229323926679,8700.75
2.0,Rhodotorula mucilaginosa,0.0,4,0.08816889950482512,35916.75
2.0,Rhodotorula mucilaginosa,5.0,4,0.008162140147602706,39223.700000000004
2.0,Rhodotorula mucilaginosa,10.0,4,0.015857642396062875,39173.375
2.0,Rhodotorula mucilaginosa,15.0,4,0.05057797277889142,36383.15
2.0,Rhodotorula mucilaginosa,20.0,4,0.045956373496420524,28984.975
2.0,Rhodotorula mucilaginosa,25.0,4,0.0815401764919815,18510.675
2.0,Rhodotorula mucilaginosa,30.0,4,0.1822423097740367,14717.825
3.0,Rhodotorula mucilaginosa,0.0,4,0.7106556935267797,27300.024999999998
3.0,Rhodotorula mucilaginosa,5.0,4,0.756466458974982,34630.100000000006
3.0,Rhodotorula mucilaginosa,10.0,4,0.5193826841622056,30980.549999999996
3.0,Rhodotorula mucilaginosa,15.0,4,0.5021404821616572,28908.375
3.0,Rhodotorula mucilaginosa,20.0,4,0.5676755386428269,31998.424999999996
3.0,Rhodotorula mucilaginosa,25.0,4,0.44501435659177657,25047.0
3.0,Rhodotorula mucilaginosa,30.0,4,0.425847038265994,19435.8
4.0,Rhodotorula mucilaginosa,0.0,4,0.10504130092426915,39165.375
4.0,Rhodotorula mucilaginosa,5.0,4,0.08889633678220236,45935.0
4.0,Rhodotorula mucilaginosa,10.0,4,0.10380002189085398,38854.7
4.0,Rhodotorula mucilaginosa,15.0,4,0.16417669316649636,34550.325000000004
4.0,Rhodotorula mucilaginosa,20.0,4,0.18692318005920788,26995.275
4.0,Rhodotorula mucilaginosa,25.0,4,0.26629584558528185,21648.95
4.0,Rhodotorula mucilaginosa,30.0,4,0.6983491743697173,15356.95
5.0,Rhodotorula mucilaginosa,0.0,4,0.0976888235937802,28103.375
5.0,Rhodotorula mucilaginosa,5.0,4,0.06988442300759366,34668.725000000006
5.0,Rhodotorula mucilaginosa,10.0,4,0.09596474199090066,32038.9
5.0,Rhodotorula mucilaginosa,15.0,4,0.1353413195729353,29152.625000000004
5.0,Rhodotorula mucilaginosa,20.0,4,0.17292818274472121,24960.6
5.0,Rhodotorula mucilaginosa,25.0,4,0.3232959309428419,27810.999999999996
5.0,Rhodotorula mucilaginosa,30.0,4,0.8322212245433566,25201.350000000002
6.0,Rhodotorula mucilaginosa,0.0,4,0.1666750752385602,27005.350000000002
6.0,Rhodotorula mucilaginosa,5.0,4,0.07844911565981409,42560.175
6.0,Rhodotorula mucilaginosa,10.0,4,0.049096014535412034,38546.925
6.0,Rhodotorula mucilaginosa,15.0,4,0.06522886705972906,33852.899999999994
6.0,Rhodotorula mucilaginosa,20.0,4,0.12826833404069188,29545.350000000006
6.0,Rhodotorula mucilaginosa,25.0,4,0.14228749193866166,27813.5
6.0,Rhodotorula mucilaginosa,30.0,4,0.2068283038279133,19601.6
7.0,Rhodotorula mucilaginosa,0.0,4,0.11100821950731148,21149.075000000004
7.0,Rhodotorula mucilaginosa,5.0,4,0.05788210541338669,37428.62500000001
7.0,Rhodotorula mucilaginosa,10.0,4,0.05608062871798574,34908.5875
7.0,Rhodotorula mucilaginosa,15.0,4,0.04884635135041438,29064.700000000004
7.0,Rhodotorula mucilaginosa,20.0,4,0.09735728001767799,25418.55
7.0,Rhodotorula mucilaginosa,25.0,4,0.21695704776280994,20971.5
7.0,Rhodotorula mucilaginosa,30.0,4,0.43352929206443686,17732.95
8.0,Rhodotorula mucilaginosa,0.0,4,0.08785396492444654,29330.675000000007
8.0,Rhodotorula mucilaginosa,5.0,4,0.1237510201309623,36098.700000000004
8.0,Rhodotorula mucilaginosa,10.0,4,0.13252641133990073,32056.850000000006
8.0,Rhodotorula mucilaginosa,15.0,4,0.09837213254180914,27762.449999999997
8.0,Rhodotorula mucilaginosa,20.0,4,0.05686813194755041,21103.949999999997
8.0,Rhodotorula mucilaginosa,25.0,4,0.19319411329606723,17725.9
8.0,Rhodotorula mucilaginosa,30.0,4,0.4711509907084865,6159.05
9.0,Rhodotorula mucilaginosa,0.0,4,0.034142041379931494,37576.575000000004
9.0,Rhodotorula mucilaginosa,5.0,4,0.03899488899599688,48453.675
9.0,Rhodotorula mucilaginosa,10.0,4,0.05062403066782086,41022.675
