species,copper_mm,aCV_median,n_colonies,aCV_mean
Cystobasidium sp.,0.0,0.3068542533417411,10,0.30743238293265357
Cystobasidium sp.,5.0,0.40364440807174906,10,0.4028100946025009
Cystobasidium sp.,10.0,0.5771503942925765,10,0.5910662242358639
Cystobasidium sp.,15.0,0.6245601064077644,10,0.6251315746388043
Cystobasidium sp.,20.0,0.8299001356351652,4,0.8315355232287678
Cystobasidium sp.,25.0,0.98935603111418,5,1.0299048758181024
Cystobasidium sp.,30.0,2.0157471968221783,10,1.9223795429926427
Pseudomicrostroma phylloplanum,0.0,0.3262210014262462,15,0.3231000606609742
Pseudomicrostroma phylloplanum,5.0,0.309036166393008,15,0.31002008475482534
Pseudomicrostroma phylloplanum,10.0,0.3730570159481267,15,0.3795727974674165
Pseudomicrostroma phylloplanum,15.0,0.3837505283069186,15,0.3758160428338951
Pseudomicrostroma phylloplanum,20.0,0.4109639068133065,15,0.4093474917385847
Pseudomicrostroma phylloplanum,25.0,0.4500460283895185,15,0.43767122150729265
Pseudomicrostroma phylloplanum,30.0,0.5586463794604837,15,0.6241661186317887
Rhodotorula araucariae,0.0,0.2595644277228784,15,0.2637906743429993
Rhodotorula araucariae,5.0,0.4234361356958843,15,0.39458466270575454
Rhodotorula araucariae,10.0,0.7103382277467625,15,0.6803921063065219
Rhodotorula araucariae,15.0,-0.229124944134937,15,-0.06973747869133132
Rhodotorula araucariae,20.0,0.5548286826097337,10,0.5555598012210483
Rhodotorula araucariae,25.0,0.5202360810059087,10,0.5210788733477124
Rhodotorula araucariae,30.0,0.2415879658177191,5,0.24429954994982667
Rhodotorula dairenensis,0.0,0.2886579649174537,157,0.2780758306753876
Rhodotorula dairenensis,5.0,0.3628279968433177,154,0.3635926870428262
Rhodotorula dairenensis,10.0,0.4094853384100188,144,0.41070066780001374
Rhodotorula dairenensis,15.0,0.4355117749760221,150,0.45225571687240756
Rhodotorula dairenensis,20.0,0.6397848995642524,147,0.6060558737267642
Rhodotorula dairenensis,25.0,0.5567829869533184,145,0.6625715782300613
Rhodotorula dairenensis,30.0,0.5775318376688285,147,0.7011654997520211
Rhodotorula diobovata,0.0,0.297585731813404,175,0.293709966442394
Rhodotorula diobovata,5.0,0.3284771478844361,171,0.3009336612466891
Rhodotorula diobovata,10.0,0.41382284886691867,162,0.4729423005245234
Rhodotorula diobovata,15.0,0.4317796443253242,165,0.3364265494808193
Rhodotorula diobovata,20.0,0.47715211246004163,146,0.7068607079531398
Rhodotorula diobovata,25.0,0.4514747060317656,134,0.27873799929625015
Rhodotorula diobovata,30.0,0.4140630304872635,133,-0.15761718732948526
Rhodotorula evergladensis,0.0,0.28046917398450766,20,0.2785415966151748
Rhodotorula evergladensis,5.0,0.2916716201621515,25,0.3246061373851253
Rhodotorula evergladensis,10.0,0.3639654301227845,20,0.3600653182280013
Rhodotorula evergladensis,15.0,0.3499491157036246,25,0.3811787254553273
Rhodotorula evergladensis,20.0,0.480041525765742,22,0.47455174803996414
Rhodotorula evergladensis,25.0,0.5090056186715337,25,0.5272615707321257
Rhodotorula evergladensis,30.0,0.4170410084582844,23,0.6589308391125033
Rhodotorula glutinis,0.0,0.2918741296075346,25,0.38391691460561306
Rhodotorula glutinis,5.0,0.3096810521066096,15,0.2788248423722697
Rhodotorula glutinis,10.0,0.4044888903836565,15,0.401302043206546
Rhodotorula glutinis,15.0,0.42260136797100245,10,0.41557279784047313
Rhodotorula glutinis,20.0,0.47058319992925635,12,0.46917064713719525
Rhodotorula glutinis,25.0,0.4320409230204439,20,0.436616472438809
Rhodotorula glutinis,30.0,0.35688912801026806,8,0.3483346485901616
Rhodotorula graminis,0.0,0.21421357635486965,30,0.2305528822853737
Rhodotorula graminis,5.0,0.3072480039451032,29,0.3344724283438495
Rhodotorula graminis,10.0,0.4514496634231051,40,0.4854470298080069
Rhodotorula graminis,15.0,0.45359916207183487,40,0.4827121206780247
Rhodotorula graminis,20.0,0.5562083228117665,37,0.48197471804620107
Rhodotorula graminis,25.0,0.5580006589737777,45,0.9083839840536498
Rhodotorula graminis,30.0,0.39369983293790606,28,0.17998439835624105
Rhodotorula kratochvilovae,0.0,0.2694029682947209,60,0.2873153998267564
Rhodotorula kratochvilovae,5.0,0.44737140535965864,60,0.43774241666781283
Rhodotorula kratochvilovae,10.0,1.4142745669210313,43,1.1396935380675186
Rhodotorula kratochvilovae,15.0,-0.9919312793345578,45,2.6489378098840484
Rhodotorula kratochvilovae,20.0,-0.2279613934276346,29,0.03530716158193033
Rhodotorula kratochvilovae,25.0,0.4360656954608225,25,0.3359314988642285
Rhodotorula kratochvilovae,30.0,-0.3205444483813983,19,-0.3526738162393886
Rhodotorula mucilaginosa,0.0,0.30879567123899,4236,0.3174286287469351
Rhodotorula mucilaginosa,5.0,0.318659192444946,4169,0.3134927042018794
Rhodotorula mucilaginosa,10.0,0.3970308276588242,3930,0.42295682661850564
Rhodotorula mucilaginosa,15.0,0.4041856134492428,4030,0.4400204334204904
Rhodotorula mucilaginosa,20.0,0.443243245048306,3963,0.48391822264574674
Rhodotorula mucilaginosa,25.0,0.45534312407387895,3888,0.5009572500230165
Rhodotorula mucilaginosa,30.0,0.5360514713027281,3967,3.719647919055293
Rhodotorula pacifica,0.0,0.3010291930472153,60,0.300084427653618
Rhodotorula pacifica,5.0,0.2878141482416654,59,0.3030065170789665
Rhodotorula pacifica,10.0,0.38595107595976424,60,0.7371016099905116
Rhodotorula pacifica,15.0,0.36626524663709364,60,0.1443898210339992
Rhodotorula pacifica,20.0,0.3914267024079256,59,0.4298941952753944
Rhodotorula pacifica,25.0,0.4535189633560038,55,0.4904281439853078
Rhodotorula pacifica,30.0,0.4711209970993879,57,0.42842418367018864
Rhodotorula paludigena,0.0,0.3004980218545172,165,0.3061506519524891
Rhodotorula paludigena,5.0,0.31002449369317575,156,0.45481703801039775
