strain_id,copper_mm,t_chroma_onset_h,t_darkening_h,pigmented,species
1.0,0.0,33.0,0.0,1,Rhodotorula mucilaginosa
1.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
1.0,10.0,,0.0,0,Rhodotorula mucilaginosa
1.0,15.0,,0.0,0,Rhodotorula mucilaginosa
1.0,20.0,,0.0,0,Rhodotorula mucilaginosa
1.0,25.0,,0.0,0,Rhodotorula mucilaginosa
1.0,30.0,,0.0,0,Rhodotorula mucilaginosa
2.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
2.0,5.0,27.0,0.0,1,Rhodotorula mucilaginosa
2.0,10.0,,0.0,0,Rhodotorula mucilaginosa
2.0,15.0,,0.0,0,Rhodotorula mucilaginosa
2.0,20.0,,0.0,0,Rhodotorula mucilaginosa
2.0,25.0,,0.0,0,Rhodotorula mucilaginosa
2.0,30.0,,0.0,0,Rhodotorula mucilaginosa
3.0,0.0,21.0,0.0,1,Rhodotorula mucilaginosa
3.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
3.0,10.0,,0.0,0,Rhodotorula mucilaginosa
3.0,15.0,,0.0,0,Rhodotorula mucilaginosa
3.0,20.0,,0.0,0,Rhodotorula mucilaginosa
3.0,25.0,,0.0,0,Rhodotorula mucilaginosa
3.0,30.0,,0.0,0,Rhodotorula mucilaginosa
4.0,0.0,21.0,0.0,1,Rhodotorula mucilaginosa
4.0,5.0,15.0,0.0,1,Rhodotorula mucilaginosa
4.0,10.0,,0.0,0,Rhodotorula mucilaginosa
4.0,15.0,,0.0,0,Rhodotorula mucilaginosa
4.0,20.0,,0.0,0,Rhodotorula mucilaginosa
4.0,25.0,,0.0,0,Rhodotorula mucilaginosa
4.0,30.0,,0.0,0,Rhodotorula mucilaginosa
5.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
5.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
5.0,10.0,,0.0,0,Rhodotorula mucilaginosa
5.0,15.0,,0.0,0,Rhodotorula mucilaginosa
5.0,20.0,,0.0,0,Rhodotorula mucilaginosa
5.0,25.0,,0.0,0,Rhodotorula mucilaginosa
5.0,30.0,,0.0,0,Rhodotorula mucilaginosa
6.0,0.0,15.0,0.0,1,Rhodotorula mucilaginosa
6.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
6.0,10.0,,0.0,0,Rhodotorula mucilaginosa
6.0,15.0,,0.0,0,Rhodotorula mucilaginosa
6.0,20.0,,0.0,0,Rhodotorula mucilaginosa
6.0,25.0,,0.0,0,Rhodotorula mucilaginosa
6.0,30.0,,0.0,0,Rhodotorula mucilaginosa
7.0,0.0,15.0,0.0,1,Rhodotorula mucilaginosa
7.0,5.0,33.0,0.0,1,Rhodotorula mucilaginosa
7.0,10.0,,0.0,0,Rhodotorula mucilaginosa
7.0,15.0,,0.0,0,Rhodotorula mucilaginosa
7.0,20.0,,0.0,0,Rhodotorula mucilaginosa
7.0,25.0,,0.0,0,Rhodotorula mucilaginosa
7.0,30.0,,0.0,0,Rhodotorula mucilaginosa
8.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
8.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
8.0,10.0,,0.0,0,Rhodotorula mucilaginosa
8.0,15.0,,0.0,0,Rhodotorula mucilaginosa
8.0,20.0,,0.0,0,Rhodotorula mucilaginosa
8.0,25.0,,0.0,0,Rhodotorula mucilaginosa
8.0,30.0,,0.0,0,Rhodotorula mucilaginosa
9.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
9.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
9.0,10.0,,0.0,0,Rhodotorula mucilaginosa
9.0,15.0,,0.0,0,Rhodotorula mucilaginosa
9.0,20.0,,0.0,0,Rhodotorula mucilaginosa
9.0,25.0,,0.0,0,Rhodotorula mucilaginosa
9.0,30.0,,0.0,0,Rhodotorula mucilaginosa
10.0,0.0,21.0,0.0,1,Rhodotorula sphaerocarpa
10.0,5.0,21.0,0.0,1,Rhodotorula sphaerocarpa
10.0,10.0,,0.0,0,Rhodotorula sphaerocarpa
10.0,15.0,,0.0,0,Rhodotorula sphaerocarpa
10.0,20.0,,0.0,0,Rhodotorula sphaerocarpa
10.0,25.0,,0.0,0,Rhodotorula sphaerocarpa
10.0,30.0,,0.0,0,Rhodotorula sphaerocarpa
11.0,0.0,15.0,0.0,1,Rhodotorula mucilaginosa
11.0,5.0,27.0,0.0,1,Rhodotorula mucilaginosa
11.0,10.0,,0.0,0,Rhodotorula mucilaginosa
11.0,15.0,,0.0,0,Rhodotorula mucilaginosa
11.0,20.0,,0.0,0,Rhodotorula mucilaginosa
11.0,25.0,,0.0,0,Rhodotorula mucilaginosa
11.0,30.0,,0.0,0,Rhodotorula mucilaginosa
12.0,0.0,9.0,0.0,1,Rhodotorula mucilaginosa
12.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
12.0,10.0,,0.0,0,Rhodotorula mucilaginosa
12.0,15.0,,0.0,0,Rhodotorula mucilaginosa
12.0,20.0,,0.0,0,Rhodotorula mucilaginosa
12.0,25.0,,0.0,0,Rhodotorula mucilaginosa
12.0,30.0,,0.0,0,Rhodotorula mucilaginosa
13.0,0.0,15.0,0.0,1,Rhodotorula mucilaginosa
13.0,5.0,15.0,0.0,1,Rhodotorula mucilaginosa
13.0,10.0,,0.0,0,Rhodotorula mucilaginosa
13.0,15.0,,0.0,0,Rhodotorula mucilaginosa
13.0,20.0,,0.0,0,Rhodotorula mucilaginosa
13.0,25.0,,0.0,0,Rhodotorula mucilaginosa
13.0,30.0,,0.0,0,Rhodotorula mucilaginosa
14.0,0.0,27.0,0.0,1,Rhodotorula mucilaginosa
14.0,5.0,27.0,0.0,1,Rhodotorula mucilaginosa
14.0,10.0,,0.0,0,Rhodotorula mucilaginosa
14.0,15.0,,0.0,0,Rhodotorula mucilaginosa
14.0,20.0,,0.0,0,Rhodotorula mucilaginosa
14.0,25.0,,0.0,0,Rhodotorula mucilaginosa
14.0,30.0,,0.0,0,Rhodotorula mucilaginosa
15.0,0.0,33.0,0.0,1,Rhodotorula mucilaginosa
15.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
15.0,10.0,,0.0,0,Rhodotorula mucilaginosa
15.0,15.0,,0.0,0,Rhodotorula mucilaginosa
15.0,20.0,,0.0,0,Rhodotorula mucilaginosa
15.0,25.0,,0.0,0,Rhodotorula mucilaginosa
15.0,30.0,,0.0,0,Rhodotorula mucilaginosa
16.0,0.0,21.0,0.0,1,Rhodotorula sp. clade XI
16.0,5.0,27.0,0.0,1,Rhodotorula sp. clade XI
16.0,10.0,,0.0,0,Rhodotorula sp. clade XI
16.0,15.0,,0.0,0,Rhodotorula sp. clade XI
16.0,20.0,,0.0,0,Rhodotorula sp. clade XI
16.0,25.0,,0.0,0,Rhodotorula sp. clade XI
16.0,30.0,,0.0,0,Rhodotorula sp. clade XI
17.0,0.0,3.0,0.0,1,Rhodotorula diobovata
17.0,5.0,21.0,0.0,1,Rhodotorula diobovata
17.0,10.0,,0.0,0,Rhodotorula diobovata
17.0,15.0,,0.0,0,Rhodotorula diobovata
17.0,20.0,,0.0,0,Rhodotorula diobovata
17.0,25.0,,0.0,0,Rhodotorula diobovata
17.0,30.0,,0.0,0,Rhodotorula diobovata
18.0,0.0,51.0,0.0,1,Rhodotorula mucilaginosa
18.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
18.0,10.0,,0.0,0,Rhodotorula mucilaginosa
18.0,15.0,,0.0,0,Rhodotorula mucilaginosa
18.0,20.0,,0.0,0,Rhodotorula mucilaginosa
18.0,25.0,,0.0,0,Rhodotorula mucilaginosa
18.0,30.0,,0.0,0,Rhodotorula mucilaginosa
19.0,0.0,27.0,0.0,1,Rhodotorula mucilaginosa
19.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
19.0,10.0,,0.0,0,Rhodotorula mucilaginosa
19.0,15.0,,0.0,0,Rhodotorula mucilaginosa
19.0,20.0,,0.0,0,Rhodotorula mucilaginosa
19.0,25.0,,0.0,0,Rhodotorula mucilaginosa
19.0,30.0,,0.0,0,Rhodotorula mucilaginosa
20.0,0.0,21.0,0.0,1,Rhodotorula mucilaginosa
20.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
20.0,10.0,,0.0,0,Rhodotorula mucilaginosa
20.0,15.0,,0.0,0,Rhodotorula mucilaginosa
20.0,20.0,,0.0,0,Rhodotorula mucilaginosa
20.0,25.0,,0.0,0,Rhodotorula mucilaginosa
20.0,30.0,,0.0,0,Rhodotorula mucilaginosa
21.0,0.0,15.0,0.0,1,Rhodotorula mucilaginosa
21.0,5.0,27.0,0.0,1,Rhodotorula mucilaginosa
21.0,10.0,,0.0,0,Rhodotorula mucilaginosa
21.0,15.0,,0.0,0,Rhodotorula mucilaginosa
21.0,20.0,,0.0,0,Rhodotorula mucilaginosa
21.0,25.0,,0.0,0,Rhodotorula mucilaginosa
21.0,30.0,,0.0,0,Rhodotorula mucilaginosa
22.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
22.0,5.0,27.0,0.0,1,Rhodotorula mucilaginosa
22.0,10.0,,0.0,0,Rhodotorula mucilaginosa
22.0,15.0,,0.0,0,Rhodotorula mucilaginosa
22.0,20.0,,0.0,0,Rhodotorula mucilaginosa
22.0,25.0,,0.0,0,Rhodotorula mucilaginosa
22.0,30.0,,0.0,0,Rhodotorula mucilaginosa
23.0,0.0,27.0,0.0,1,Rhodotorula mucilaginosa
23.0,5.0,111.0,0.0,1,Rhodotorula mucilaginosa
23.0,10.0,,0.0,0,Rhodotorula mucilaginosa
23.0,15.0,,0.0,0,Rhodotorula mucilaginosa
23.0,20.0,,0.0,0,Rhodotorula mucilaginosa
23.0,25.0,,0.0,0,Rhodotorula mucilaginosa
23.0,30.0,,0.0,0,Rhodotorula mucilaginosa
24.0,0.0,15.0,0.0,1,Rhodotorula mucilaginosa
24.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
24.0,10.0,,0.0,0,Rhodotorula mucilaginosa
24.0,15.0,,0.0,0,Rhodotorula mucilaginosa
24.0,20.0,,0.0,0,Rhodotorula mucilaginosa
24.0,25.0,,0.0,0,Rhodotorula mucilaginosa
24.0,30.0,,0.0,0,Rhodotorula mucilaginosa
25.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
25.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
25.0,10.0,,0.0,0,Rhodotorula mucilaginosa
25.0,15.0,,0.0,0,Rhodotorula mucilaginosa
25.0,20.0,,0.0,0,Rhodotorula mucilaginosa
25.0,25.0,,0.0,0,Rhodotorula mucilaginosa
25.0,30.0,,0.0,0,Rhodotorula mucilaginosa
26.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
26.0,5.0,15.0,0.0,1,Rhodotorula mucilaginosa
26.0,10.0,,0.0,0,Rhodotorula mucilaginosa
26.0,15.0,,0.0,0,Rhodotorula mucilaginosa
26.0,20.0,,0.0,0,Rhodotorula mucilaginosa
26.0,25.0,,0.0,0,Rhodotorula mucilaginosa
26.0,30.0,,0.0,0,Rhodotorula mucilaginosa
27.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
27.0,5.0,27.0,0.0,1,Rhodotorula mucilaginosa
27.0,10.0,,0.0,0,Rhodotorula mucilaginosa
27.0,15.0,,0.0,0,Rhodotorula mucilaginosa
27.0,20.0,,0.0,0,Rhodotorula mucilaginosa
27.0,25.0,,0.0,0,Rhodotorula mucilaginosa
27.0,30.0,,0.0,0,Rhodotorula mucilaginosa
28.0,0.0,21.0,0.0,1,Rhodotorula pacifica
28.0,5.0,21.0,0.0,1,Rhodotorula pacifica
28.0,10.0,,0.0,0,Rhodotorula pacifica
28.0,15.0,,0.0,0,Rhodotorula pacifica
28.0,20.0,,0.0,0,Rhodotorula pacifica
28.0,25.0,,0.0,0,Rhodotorula pacifica
28.0,30.0,,0.0,0,Rhodotorula pacifica
29.0,0.0,39.0,0.0,1,Rhodotorula mucilaginosa
29.0,5.0,27.0,0.0,1,Rhodotorula mucilaginosa
29.0,10.0,,0.0,0,Rhodotorula mucilaginosa
29.0,15.0,,0.0,0,Rhodotorula mucilaginosa
29.0,20.0,,0.0,0,Rhodotorula mucilaginosa
29.0,25.0,,0.0,0,Rhodotorula mucilaginosa
29.0,30.0,,0.0,0,Rhodotorula mucilaginosa
30.0,0.0,21.0,0.0,1,Rhodotorula mucilaginosa
30.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
30.0,10.0,,0.0,0,Rhodotorula mucilaginosa
30.0,15.0,,0.0,0,Rhodotorula mucilaginosa
30.0,20.0,,0.0,0,Rhodotorula mucilaginosa
30.0,25.0,,0.0,0,Rhodotorula mucilaginosa
30.0,30.0,,0.0,0,Rhodotorula mucilaginosa
31.0,0.0,21.0,0.0,1,Rhodotorula mucilaginosa
31.0,5.0,27.0,0.0,1,Rhodotorula mucilaginosa
31.0,10.0,,0.0,0,Rhodotorula mucilaginosa
31.0,15.0,,0.0,0,Rhodotorula mucilaginosa
31.0,20.0,,0.0,0,Rhodotorula mucilaginosa
31.0,25.0,,0.0,0,Rhodotorula mucilaginosa
31.0,30.0,,0.0,0,Rhodotorula mucilaginosa
32.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
32.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
32.0,10.0,,0.0,0,Rhodotorula mucilaginosa
32.0,15.0,,0.0,0,Rhodotorula mucilaginosa
32.0,20.0,,0.0,0,Rhodotorula mucilaginosa
32.0,25.0,,0.0,0,Rhodotorula mucilaginosa
32.0,30.0,,0.0,0,Rhodotorula mucilaginosa
33.0,0.0,21.0,0.0,1,Rhodotorula mucilaginosa
33.0,5.0,27.0,0.0,1,Rhodotorula mucilaginosa
33.0,10.0,,0.0,0,Rhodotorula mucilaginosa
33.0,15.0,,0.0,0,Rhodotorula mucilaginosa
33.0,20.0,,0.0,0,Rhodotorula mucilaginosa
33.0,25.0,,0.0,0,Rhodotorula mucilaginosa
33.0,30.0,,0.0,0,Rhodotorula mucilaginosa
34.0,0.0,21.0,0.0,1,Rhodotorula sphaerocarpa
34.0,5.0,21.0,0.0,1,Rhodotorula sphaerocarpa
34.0,10.0,,0.0,0,Rhodotorula sphaerocarpa
34.0,15.0,,0.0,0,Rhodotorula sphaerocarpa
34.0,20.0,,0.0,0,Rhodotorula sphaerocarpa
34.0,25.0,,0.0,0,Rhodotorula sphaerocarpa
34.0,30.0,,0.0,0,Rhodotorula sphaerocarpa
35.0,0.0,15.0,0.0,1,
35.0,5.0,45.0,0.0,1,
35.0,10.0,,3.0,0,
35.0,15.0,,0.0,0,
35.0,20.0,,9.0,0,
35.0,25.0,,0.0,0,
35.0,30.0,,0.0,0,
36.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
36.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
36.0,10.0,,0.0,0,Rhodotorula mucilaginosa
36.0,15.0,,0.0,0,Rhodotorula mucilaginosa
36.0,20.0,,0.0,0,Rhodotorula mucilaginosa
36.0,25.0,,0.0,0,Rhodotorula mucilaginosa
36.0,30.0,,0.0,0,Rhodotorula mucilaginosa
37.0,0.0,9.0,0.0,1,Rhodotorula paludigena
37.0,5.0,21.0,0.0,1,Rhodotorula paludigena
37.0,10.0,,0.0,0,Rhodotorula paludigena
37.0,15.0,,0.0,0,Rhodotorula paludigena
37.0,20.0,,0.0,0,Rhodotorula paludigena
37.0,25.0,,0.0,0,Rhodotorula paludigena
37.0,30.0,,0.0,0,Rhodotorula paludigena
38.0,0.0,3.0,0.0,1,Rhodotorula mucilaginosa
38.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
38.0,10.0,,0.0,0,Rhodotorula mucilaginosa
38.0,15.0,,0.0,0,Rhodotorula mucilaginosa
38.0,20.0,,0.0,0,Rhodotorula mucilaginosa
38.0,25.0,,0.0,0,Rhodotorula mucilaginosa
38.0,30.0,,0.0,0,Rhodotorula mucilaginosa
39.0,0.0,27.0,0.0,1,Rhodotorula mucilaginosa
39.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
39.0,10.0,,0.0,0,Rhodotorula mucilaginosa
39.0,15.0,,0.0,0,Rhodotorula mucilaginosa
39.0,20.0,,0.0,0,Rhodotorula mucilaginosa
39.0,25.0,,0.0,0,Rhodotorula mucilaginosa
39.0,30.0,,0.0,0,Rhodotorula mucilaginosa
40.0,0.0,15.0,0.0,1,Rhodotorula mucilaginosa
40.0,5.0,21.0,0.0,1,Rhodotorula mucilaginosa
40.0,10.0,,0.0,0,Rhodotorula mucilaginosa
40.0,15.0,,0.0,0,Rhodotorula mucilaginosa
40.0,20.0,,0.0,0,Rhodotorula mucilaginosa
40.0,25.0,,0.0,0,Rhodotorula mucilaginosa
40.0,30.0,,0.0,0,Rhodotorula mucilaginosa
41.0,0.0,27.0,0.0,1,Rhodotorula mucilaginosa
