strain_id,copper_mm,species,hue_wmean,chroma_median,n,morph
1.0,0.0,Rhodotorula mucilaginosa,23.04285656439592,9.59314039271734,20.0,1
1.0,5.0,Rhodotorula mucilaginosa,41.96365120245079,11.990572231397849,20.0,0
1.0,10.0,Rhodotorula mucilaginosa,46.19710601710319,10.479584542276609,20.0,0
1.0,15.0,Rhodotorula mucilaginosa,46.91254929310484,8.9264533361192,20.0,0
1.0,20.0,Rhodotorula mucilaginosa,51.21023260049511,7.508159777416014,20.0,0
1.0,25.0,Rhodotorula mucilaginosa,53.27163797560956,6.615196452622804,20.0,0
1.0,30.0,Rhodotorula mucilaginosa,54.381450616754066,5.806357585282525,20.0,0
2.0,0.0,Rhodotorula mucilaginosa,16.62113323316915,9.329202039421038,20.0,1
2.0,5.0,Rhodotorula mucilaginosa,43.995511470787164,11.992506644412465,20.0,0
2.0,10.0,Rhodotorula mucilaginosa,51.94716258168382,11.969671625523677,20.0,0
2.0,15.0,Rhodotorula mucilaginosa,53.72563211780848,10.218326418105047,20.0,0
2.0,20.0,Rhodotorula mucilaginosa,59.758002120074714,8.806441714288887,20.0,0
2.0,25.0,Rhodotorula mucilaginosa,63.66695897944192,8.049323528218162,20.0,0
2.0,30.0,Rhodotorula mucilaginosa,62.608986391819435,6.442526287107976,20.0,0
3.0,0.0,Rhodotorula mucilaginosa,10.451110724514216,8.5198448328825,20.0,1
3.0,5.0,Rhodotorula mucilaginosa,40.1531915112477,11.651335818588302,20.0,0
3.0,10.0,Rhodotorula mucilaginosa,40.80227658407652,10.884965831587586,15.0,0
3.0,15.0,Rhodotorula mucilaginosa,36.57907628468111,10.47680463617133,19.0,0
3.0,20.0,Rhodotorula mucilaginosa,45.73633686010556,10.45258851826176,15.0,0
3.0,25.0,Rhodotorula mucilaginosa,49.69750589202388,9.143508274368733,15.0,0
3.0,30.0,Rhodotorula mucilaginosa,60.225202960229716,8.110227196200208,15.0,0
4.0,0.0,Rhodotorula mucilaginosa,12.07210492934653,10.829887314828333,20.0,1
4.0,5.0,Rhodotorula mucilaginosa,40.95757231632319,12.702675963534759,20.0,0
4.0,10.0,Rhodotorula mucilaginosa,45.68536169785397,11.604423816799109,20.0,0
4.0,15.0,Rhodotorula mucilaginosa,47.174567960218326,10.46770716659612,20.0,0
4.0,20.0,Rhodotorula mucilaginosa,50.982372824279636,8.491034077760219,20.0,0
4.0,25.0,Rhodotorula mucilaginosa,53.00162214772505,8.05633723372973,20.0,0
4.0,30.0,Rhodotorula mucilaginosa,49.96009164833522,6.640676348446997,20.0,0
5.0,0.0,Rhodotorula mucilaginosa,16.97628372023355,10.035076949334155,20.0,1
5.0,5.0,Rhodotorula mucilaginosa,37.54947883971533,11.726874598719018,20.0,0
5.0,10.0,Rhodotorula mucilaginosa,41.473154675498876,10.59651662977246,20.0,0
5.0,15.0,Rhodotorula mucilaginosa,40.80840337569928,9.645255421331779,20.0,0
5.0,20.0,Rhodotorula mucilaginosa,45.39433284396264,8.69022384973872,20.0,0
5.0,25.0,Rhodotorula mucilaginosa,51.19153492625191,8.218689961381774,20.0,0
5.0,30.0,Rhodotorula mucilaginosa,61.58281842135142,7.787508594205351,18.0,0
6.0,0.0,Rhodotorula mucilaginosa,11.688566031686028,10.14070915149475,20.0,1
6.0,5.0,Rhodotorula mucilaginosa,35.6563976092216,11.873934233751463,20.0,0
6.0,10.0,Rhodotorula mucilaginosa,37.24208770892712,10.480619498591842,20.0,0
6.0,15.0,Rhodotorula mucilaginosa,41.861528390315705,8.923368333351057,20.0,0
6.0,20.0,Rhodotorula mucilaginosa,42.86027906732826,7.2326768734674385,20.0,0
6.0,25.0,Rhodotorula mucilaginosa,45.00992049266719,5.78394531936838,20.0,0
6.0,30.0,Rhodotorula mucilaginosa,54.42881910589716,5.356943173258762,20.0,0
7.0,0.0,Rhodotorula mucilaginosa,20.487838139283966,9.200795828799409,20.0,1
7.0,5.0,Rhodotorula mucilaginosa,37.76684135107068,11.55063087916861,20.0,0
7.0,10.0,Rhodotorula mucilaginosa,38.01213831459899,10.671139446105919,20.0,0
7.0,15.0,Rhodotorula mucilaginosa,38.274893486258584,8.821668829214975,20.0,0
7.0,20.0,Rhodotorula mucilaginosa,41.454657716876994,7.765482114821598,20.0,0
7.0,25.0,Rhodotorula mucilaginosa,45.96170903668562,7.027718038554893,20.0,0
7.0,30.0,Rhodotorula mucilaginosa,51.866676729408034,5.473902914291106,20.0,0
8.0,0.0,Rhodotorula mucilaginosa,22.582979233432418,11.852284384065515,20.0,1
8.0,5.0,Rhodotorula mucilaginosa,36.54913521208513,12.321956163323076,20.0,0
8.0,10.0,Rhodotorula mucilaginosa,38.49449970924924,10.089679536461565,20.0,0
8.0,15.0,Rhodotorula mucilaginosa,41.02442219200588,8.235782718997118,20.0,0
8.0,20.0,Rhodotorula mucilaginosa,46.56646852894472,6.761145648151045,20.0,0
8.0,25.0,Rhodotorula mucilaginosa,50.54149238510081,5.501894076045656,20.0,0
8.0,30.0,Rhodotorula mucilaginosa,36.51121755617089,2.1608859738183197,20.0,0
9.0,0.0,Rhodotorula mucilaginosa,21.13825664901742,10.856671209349972,20.0,1
9.0,5.0,Rhodotorula mucilaginosa,40.724638036321096,13.102293875315475,20.0,0
9.0,10.0,Rhodotorula mucilaginosa,44.41775769624195,11.470000871064007,20.0,0
9.0,15.0,Rhodotorula mucilaginosa,40.779289368731895,9.873684501409386,20.0,0
9.0,20.0,Rhodotorula mucilaginosa,42.43136053273656,8.242791329680788,20.0,0
9.0,25.0,Rhodotorula mucilaginosa,47.91089942183577,7.120026481480599,20.0,0
9.0,30.0,Rhodotorula mucilaginosa,38.527080328463164,5.3150323311704675,20.0,0
10.0,0.0,Rhodotorula sphaerocarpa,24.827464618294787,11.5379001777236,10.0,1
10.0,5.0,Rhodotorula sphaerocarpa,48.53789544461913,11.956337618849616,15.0,0
10.0,10.0,Rhodotorula sphaerocarpa,38.917594076006445,11.068753649839593,16.0,0
10.0,15.0,Rhodotorula sphaerocarpa,36.97329619907983,9.585231413051236,15.0,0
10.0,20.0,Rhodotorula sphaerocarpa,47.907636494157636,9.052598694008335,10.0,0
10.0,25.0,Rhodotorula sphaerocarpa,50.57342603821343,8.411898476502229,10.0,0
