feature,block,MI_species_bits,MI_species_fracH,CMI|L_bits,CMI|L_a_b_bits,info_beyond_L_ab
ColorLab_b*CoeffVar,lab,0.18495625858484108,0.061652086194947026,0.18536839832600535,0.1924022929150711,-0.007446034330230028
Shape_Area,shape,0.1802313090492193,0.06007710301640643,0.17591602295312558,0.19131428632198322,-0.011082977272763916
Shape_Perimeter,shape,0.17200274618500205,0.057334248728334015,0.1772524146719613,0.19245880672923898,-0.02045606054423693
Shape_Solidity,shape,0.1569725269264564,0.05232417564215214,0.16338185603321814,0.18174195641740515,-0.024769429490948736
Shape_MeanRadius,shape,0.1549155753986394,0.0516385251328798,0.17153075764143677,0.1848970441111159,-0.029981468712476506
Shape_MaxRadius,shape,0.1544861831639632,0.05149539438798773,0.16300027099697081,0.17568961091977334,-0.021203427755810134
Shape_MajorAxisLength,shape,0.15406061034780227,0.05135353678260076,0.18722347855700255,0.19163321960418822,-0.03757260925638595
ColorLab_CHROMA,lab,0.13870032665558465,0.046233442218528216,0.17779829187075563,0.16120997431093662,-0.02250964765535196
ColorHSV_SaturationCoeffVar,hsv,0.1365956378338539,0.0455318792779513,0.16997546301272076,0.15896161313694332,-0.022365975303089425
ColorHSV_SaturationMedian,hsv,0.13323715295711364,0.04441238431903788,0.1779374743964725,0.1856095202530551,-0.05237236729594147
TextureGray_InfoCorrelation1-avg-scale05,texture,0.1209173808971637,0.0403057936323879,0.14641635964138502,0.11630213851674509,0.004615242380418605
Colorxy_xMedian,xy,0.11936776080980027,0.03978925360326676,0.15930336481821875,0.16881795751387949,-0.04945019670407921
ColorLab_a*Median,lab,0.11795143014936046,0.03931714338312015,0.16077784492365005,0.15001817389980107,-0.03206674375044061
TextureGray_Entropy-avg-scale05,texture,0.11051641718771864,0.036838805729239546,0.12383882471788864,0.15315096201823672,-0.04263454483051808
ColorLab_b*Median,lab,0.10829921252923248,0.03609973750974416,0.17962035294949827,0.21518169595557748,-0.106882483426345
ColorHSV_HueMedian,hsv,0.1072123910468629,0.03573746368228763,0.14855109005220388,0.15565780125398337,-0.04844541020712047
Colorxy_yMedian,xy,0.10575954090277291,0.0352531803009243,0.1656104257471358,0.22124757974520842,-0.11548803884243551
ColorLab_a*CoeffVar,lab,0.10528343808648391,0.035094479362161306,0.14001480537671915,0.12343904291795296,-0.018155604831469052
TextureGray_AngularSecondMoment-avg-scale05,texture,0.10343459847161623,0.03447819949053874,0.11874147896933533,0.1449328442397408,-0.04149824576812455
Intensity_InterquartileRangeIntensity,intensity,0.09940357377393182,0.0331345245913106,0.11888086885278022,0.18978649278028065,-0.09038291900634883
Shape_Extent,shape,0.09679409449971625,0.032264698166572084,0.12719918721985848,0.13309648183568784,-0.03630238733597159
ColorHSV_BrightnessMedian,hsv,0.09582928844157368,0.03194309614719123,0.16871172175192695,0.15669824135445512,-0.06086895291288144
TextureGray_Correlation-avg-scale05,texture,0.09509066274727168,0.031696887582423894,0.13806294704578406,0.11773220377003984,-0.022641541022768163
Shape_Circularity,shape,0.09412313671363279,0.03137437890454426,0.1387916078968263,0.14808369167472968,-0.05396055496109689
Shape_Compactness,shape,0.09412313671363276,0.03137437890454425,0.1387916078968263,0.14808369167472968,-0.05396055496109692
TextureGray_SumEntropy-avg-scale05,texture,0.09242442749347592,0.030808142497825305,0.11502054704353681,0.16620137316317782,-0.0737769456697019
Shape_Eccentricity,shape,0.0904336594706686,0.030144553156889534,0.13167725703674427,0.11286316040479422,-0.022429500934125615
TextureGray_DiffVariance-avg-scale05,texture,0.08497527859659963,0.02832509286553321,0.17086957282669563,0.1407114637999185,-0.05573618520331887
Intensity_CoefficientVarianceIntensity,intensity,0.08077279029927739,0.026924263433092465,0.12793417893462625,0.15178162259865358,-0.07100883229937618
TextureGray_Contrast-avg-scale05,texture,0.07915642398013811,0.026385474660046038,0.15504159832521275,0.14846899322261609,-0.06931256924247797
TextureGray_HaralickVariance-avg-scale05,texture,0.07893927291482797,0.02631309097160932,0.1444835735839912,0.17069441284489445,-0.09175513993006648
Intensity_MeanIntensity,intensity,0.07889193328780068,0.02629731109593356,0.18199696029482842,0.17113407279009307,-0.09224213950229239
Intensity_Density,intensity,0.07889193328780068,0.02629731109593356,0.18199696029482842,0.17113407279009307,-0.09224213950229239
ColorLab_L*CoeffVar,lab,0.07817885269685823,0.02605961756561941,0.14833836736327383,0.15346800877266933,-0.0752891560758111
Intensity_MedianIntensity,intensity,0.06932463678817183,0.023108212262723943,0.217828746478234,0.16222188643263322,-0.09289724964446139
ColorLab_L*Median,lab,0.06932463678817183,0.023108212262723943,0.217828746478234,0.16222188643263322,-0.09289724964446139
Intensity_StandardDeviationIntensity,intensity,0.06811230680023629,0.02270410226674543,0.14980338634302603,0.16401787353858133,-0.09590556673834504
