strain_id,species,n_cu,slope_logchroma_per_mM,intercept_logchroma,r2,environment,origin
1.0,Rhodotorula mucilaginosa,28,-0.02507567092060919,2.544621258485267,0.5434417009476514,marsh_tidalflat,China
2.0,Rhodotorula mucilaginosa,28,-0.019046626882036347,2.559799572393261,0.4161846376674192,marsh_tidalflat,China
3.0,Rhodotorula mucilaginosa,24,0.00936436815696134,2.049503661899555,0.032215945171487834,marsh_tidalflat,China
4.0,Rhodotorula mucilaginosa,28,-0.020670377315735268,2.5841040742751136,0.48627376823757346,marsh_tidalflat,China
5.0,Rhodotorula mucilaginosa,28,-0.016901348865517994,2.4949918944098557,0.2698388955502177,marsh_tidalflat,China
6.0,Rhodotorula mucilaginosa,28,-0.024487876093763582,2.520995229687746,0.5038642419519666,marsh_tidalflat,China
7.0,Rhodotorula mucilaginosa,28,-0.024512506092527024,2.519091779802751,0.39150848571323066,marsh_tidalflat,China
8.0,Rhodotorula mucilaginosa,28,-0.04505406488090844,2.7281703523410643,0.6292652290179357,marsh_tidalflat,China
9.0,Rhodotorula mucilaginosa,28,-0.026728381430635082,2.6566345598213092,0.5389548137416587,marsh_tidalflat,China
10.0,Rhodotorula sphaerocarpa,17,-0.007847711339761556,2.220207545103878,0.016107811865507086,marsh_tidalflat,China
11.0,Rhodotorula mucilaginosa,28,-0.010812862681714844,2.3718236970493685,0.346795450715828,marsh_tidalflat,China
12.0,Rhodotorula mucilaginosa,28,-0.01136157332646233,2.5296450273605005,0.41009226795102693,marsh_tidalflat,China
13.0,Rhodotorula mucilaginosa,28,-0.012105897256148164,2.53000642769793,0.538373946451044,marsh_tidalflat,China
14.0,Rhodotorula mucilaginosa,28,-0.023321828549831766,2.5404358024620204,0.431882886037634,marsh_tidalflat,China
15.0,Rhodotorula mucilaginosa,28,-0.01894742753172135,2.626540127439994,0.2662181438248869,marsh_tidalflat,China
16.0,Rhodotorula sp. clade XI,28,-0.01116537372094781,2.396693203947765,0.23259415829902633,marsh_tidalflat,China
17.0,Rhodotorula diobovata,27,-0.0336244942724961,2.531841972040205,0.45192049074333257,marsh_tidalflat,China
18.0,Rhodotorula mucilaginosa,27,-0.027486955739700974,2.4966641215504457,0.3919419912643807,marsh_tidalflat,China
19.0,Rhodotorula mucilaginosa,28,-0.013242739441193436,2.5531649403556687,0.6091099625053042,marsh_tidalflat,China
20.0,Rhodotorula mucilaginosa,23,-0.01547433359841709,2.319106853488407,0.06964251140137165,marsh_tidalflat,China
21.0,Rhodotorula mucilaginosa,21,-0.032342967439482055,2.5584627865764613,0.610487576230305,marsh_tidalflat,China
22.0,Rhodotorula mucilaginosa,28,-0.027654395683416096,2.540496497976397,0.39344942692886015,marsh_tidalflat,China
23.0,Rhodotorula mucilaginosa,9,-0.0015277041962348547,2.0536224997433856,0.0010641847379247377,marsh_tidalflat,China
24.0,Rhodotorula mucilaginosa,28,-0.016565978539608815,2.5815681576448433,0.5906345400926757,marsh_tidalflat,China
25.0,Rhodotorula mucilaginosa,25,-0.004195747659018737,2.151585704409506,0.006266863696219362,marsh_tidalflat,China
26.0,Rhodotorula mucilaginosa,28,-0.020629769115862836,2.5433360138707055,0.4213778087606826,marsh_tidalflat,China
27.0,Rhodotorula mucilaginosa,28,-0.015794939406862364,2.518514900042716,0.39568427511025506,marsh_tidalflat,China
28.0,Rhodotorula pacifica,28,-0.023230377973594646,2.5021968693354233,0.22065659104075025,marsh_tidalflat,China
29.0,Rhodotorula mucilaginosa,24,0.006852864569169603,1.8203792738552746,0.02430400271842253,marsh_tidalflat,China
30.0,Rhodotorula mucilaginosa,28,-0.04045105683136736,2.7491033651583527,0.6340920221373353,marsh_tidalflat,China
31.0,Rhodotorula mucilaginosa,28,-0.03342973048725736,2.6371271015846443,0.6542239013521877,marsh_tidalflat,China
32.0,Rhodotorula mucilaginosa,27,-0.035836170699041096,2.66330256016185,0.7364469039638788,marsh_tidalflat,China
33.0,Rhodotorula mucilaginosa,28,-0.034178385860462554,2.579168527552958,0.5811886664728817,marsh_tidalflat,China
34.0,Rhodotorula sphaerocarpa,24,-0.017540398362016717,2.4872453661968894,0.09463826360409251,marsh_tidalflat,
36.0,Rhodotorula mucilaginosa,28,-0.020525806480310983,2.3927989239852026,0.6232239750297576,marsh_tidalflat,China
37.0,Rhodotorula paludigena,14,-0.0341802364114025,2.5169813328410258,0.709937045080611,marsh_tidalflat,China
38.0,Rhodotorula mucilaginosa,28,-0.03157697841433213,2.6790788728810333,0.5247250638321284,marsh_tidalflat,China
39.0,Rhodotorula mucilaginosa,28,-0.03724441903298652,2.6449381529951594,0.7298994396055302,marsh_tidalflat,China
40.0,Rhodotorula mucilaginosa,28,-0.022281517441097024,2.6205613676926025,0.29754914276396194,marsh_tidalflat,China
41.0,Rhodotorula mucilaginosa,28,-0.02501824375901683,2.6200879666820436,0.4931123797109863,marsh_tidalflat,China
42.0,Rhodotorula mucilaginosa,19,0.00291756552209305,1.901752724067318,0.004988826555749927,marsh_tidalflat,China
43.0,Rhodotorula toruloides,23,-0.015036489136710528,1.9582218107234548,0.06657055928814001,marsh_tidalflat,China
44.0,Rhodotorula diobovata,25,-0.0125112019584418,2.345512551651385,0.16958124162017718,marsh_tidalflat,China
45.0,Rhodotorula mucilaginosa,22,-0.02193611656689603,2.3819483087766704,0.2503788599615752,marsh_tidalflat,China
46.0,Rhodotorula paludigena,21,-0.020236938684013807,2.392761234829744,0.21451426452283331,marsh_tidalflat,China
47.0,Rhodotorula mucilaginosa,18,-0.013039915586605354,2.415580142010871,0.1530425822531123,marsh_tidalflat,China
48.0,Rhodotorula mucilaginosa,28,-0.032837739651753635,2.5514752815859523,0.36720245115070854,marsh_tidalflat,China
49.0,Rhodotorula mucilaginosa,28,-0.044904360020831736,2.7790996582764302,0.7816094644793715,marsh_tidalflat,China
50.0,Rhodotorula mucilaginosa,28,-0.04918513412145729,2.7527620821207788,0.7236028257292443,marsh_tidalflat,China
51.0,Rhodotorula mucilaginosa,21,-0.03913142048624907,2.694186775182315,0.7832794189794818,marsh_tidalflat,China
52.0,Rhodotorula mucilaginosa,28,-0.013877799597413002,2.4840743324900485,0.3488270376487427,,China
53.0,Rhodotorula mucilaginosa,20,-0.03633973478981177,2.7068945402706777,0.7078996141578563,marsh_tidalflat,China
54.0,Rhodotorula mucilaginosa,28,-0.019153997348343846,2.552378840771842,0.48227649810121875,marsh_tidalflat,China
55.0,Rhodotorula mucilaginosa,28,-0.02662716542001558,2.4754274695902727,0.442439357898425,marsh_tidalflat,China
56.0,Rhodotorula mucilaginosa,28,-0.03364445624645216,2.632587884699296,0.5032157893451313,marsh_tidalflat,China
57.0,Rhodotorula mucilaginosa,28,-0.017041482055866225,2.5279002976820504,0.299098447768528,,China
58.0,Rhodotorula mucilaginosa,28,-0.025931138870425155,2.617716078530857,0.5497613000936383,marsh_tidalflat,China
59.0,Rhodotorula mucilaginosa,28,-0.03000512170462027,2.6237076198673535,0.6020614747963845,marsh_tidalflat,China
60.0,Rhodotorula mucilaginosa,28,-0.013501444577125668,2.4893712777402537,0.4469504570728013,marsh_tidalflat,China
61.0,Rhodotorula toruloides,21,-0.03862807034968654,2.518452549546943,0.5724060371332039,marsh_tidalflat,China
62.0,Rhodotorula mucilaginosa,23,-0.007562878278433813,2.314518604558432,0.04173964171073481,marsh_tidalflat,China
63.0,Rhodotorula mucilaginosa,21,-0.027903314781829402,2.611155183708547,0.5830097284230579,,China
64.0,Rhodotorula mucilaginosa,28,-0.04092756908521166,2.683499033778751,0.540639893509341,marsh_tidalflat,China
65.0,Rhodotorula mucilaginosa,28,-0.012700093614384742,2.427513897359158,0.2566162900131549,marsh_tidalflat,China
66.0,Rhodotorula mucilaginosa,28,-0.020292689369041036,2.5672919932011427,0.4469997741728503,marsh_tidalflat,China
67.0,Rhodotorula mucilaginosa,28,-0.021165301334485444,2.584638809677767,0.6787946811135142,marsh_tidalflat,China
68.0,Rhodotorula mucilaginosa,27,-0.019429831376379617,2.527670930266363,0.21843088679671468,marsh_tidalflat,China
69.0,Rhodotorula mucilaginosa,28,-0.01659092903440761,2.4684652766313344,0.3390325291322074,marsh_tidalflat,China
71.0,Rhodotorula dairenensis,28,-0.004624134731671639,2.4010454510182373,0.05807872641408387,marsh_tidalflat,China
72.0,Rhodotorula mucilaginosa,21,-0.03948954674165415,2.712950000662148,0.6829094249944556,marsh_tidalflat,China
73.0,Rhodotorula mucilaginosa,28,-0.01378085221420273,2.4708994888686666,0.4651140474508083,marsh_tidalflat,China
74.0,Rhodotorula mucilaginosa,28,-0.010609998319306323,2.4519726990205313,0.36482436159348475,marsh_tidalflat,China
75.0,Rhodotorula mucilaginosa,28,-0.019947104436103848,2.5499529006310846,0.6533126338173463,marsh_tidalflat,China
76.0,Rhodotorula mucilaginosa,28,-0.02124195278084456,2.610769441263532,0.4070468109191854,marsh_tidalflat,China
77.0,Rhodotorula mucilaginosa,28,-0.013313166096863257,2.485819525590589,0.5179962108634182,,China
78.0,Rhodotorula mucilaginosa,28,-0.021141822886023044,2.478203398361078,0.7469313656655335,marsh_tidalflat,China
79.0,Rhodotorula mucilaginosa,28,-0.04416946465661295,2.6140802300458037,0.8120398250478523,marsh_tidalflat,China
80.0,Rhodotorula pacifica,28,-0.013932788831480507,2.499499408939139,0.2620674038397199,marsh_tidalflat,China
81.0,Rhodotorula mucilaginosa,28,-0.03637954546594688,2.696661101626274,0.5823524979701161,marsh_tidalflat,China
83.0,Rhodotorula mucilaginosa,23,-0.02847843979463922,2.471007093324442,0.24663104419045784,marsh_tidalflat,China
84.0,Rhodotorula paludigena,7,-0.0138411343230467,2.4624819000109786,0.3192459895043327,marsh_tidalflat,China
85.0,Rhodotorula paludigena,14,-0.021310239121240356,2.500080985642973,0.6766649714449949,marsh_tidalflat,China
86.0,Rhodotorula mucilaginosa,28,-0.021874412570951286,2.352849157799996,0.38641463555694444,,China
88.0,Rhodotorula toruloides,20,-0.030746949736787252,2.2055715845911914,0.222042785690816,,China
89.0,Rhodotorula mucilaginosa,28,-0.0013607985379639823,2.1785379470154913,0.000875730544471801,marsh_tidalflat,China
91.0,Rhodotorula diobovata,27,-0.05031835965941372,2.738795654780513,0.6710530756576608,marsh_tidalflat,China
92.0,Rhodotorula taiwanensis,25,-0.025787240796839618,2.719471856845502,0.8640735850699214,marsh_tidalflat,China
93.0,Rhodotorula paludigena,19,-0.01783632913922652,2.239002624702747,0.09748550635369872,marsh_tidalflat,China
94.0,Rhodotorula paludigena,7,-0.024390272215712595,2.5775119550501735,0.7384285540658776,marsh_tidalflat,China
