strain_id,umap_x,umap_y,hdbscan_cluster,hdbscan_prob,species,environment,origin,n_colonies
1,6.1375217,8.492061,-1,0.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
2,4.829166,7.797781,-1,0.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
3,6.88992,7.4781513,-1,0.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,95.0
4,5.1024647,9.201178,7,0.8944781951481354,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
5,5.8786697,8.050183,8,1.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,111.0
6,3.5959432,9.598487,11,1.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
7,5.673156,7.1685357,8,0.8063739455722198,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
8,3.2964964,8.751532,-1,0.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
9,5.4112,10.168278,-1,0.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
10,6.621159,8.019519,9,1.0,Rhodotorula sphaerocarpa,marsh_tidalflat,China,69.0
11,4.3104615,8.888226,-1,0.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
12,7.195784,8.7222,-1,0.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
13,7.642087,8.692614,-1,0.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
14,5.417409,7.70905,8,1.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
15,7.4974985,8.740191,-1,0.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
16,4.5002294,7.9410443,-1,0.0,Rhodotorula sp. clade XI,marsh_tidalflat,China,112.0
17,3.775893,7.1963334,-1,0.0,Rhodotorula diobovata,marsh_tidalflat,China,107.0
18,3.9782052,8.754135,-1,0.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,108.0
19,7.003356,8.389265,9,1.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,112.0
20,5.358249,7.4481235,8,1.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,92.0
21,3.09735,8.322933,6,1.0,Rhodotorula mucilaginosa,marsh_tidalflat,China,84.0
