hdbscan_cluster,Cystobasidium sp.,Pseudomicrostroma phylloplanum,Rhodotorula araucariae,Rhodotorula dairenensis,Rhodotorula diobovata,Rhodotorula evergladensis,Rhodotorula glutinis,Rhodotorula graminis,Rhodotorula kratochvilovae,Rhodotorula mucilaginosa,Rhodotorula pacifica,Rhodotorula paludigena,Rhodotorula sp. clade I,Rhodotorula sp. clade XI,Rhodotorula sp. clade XIII,Rhodotorula sphaerocarpa,Rhodotorula taiwanensis,Rhodotorula toruloides,n_total
-1,0.0,0.0,1.0,4.0,5.0,0.0,1.0,2.0,1.0,72.0,1.0,7.0,1.0,2.0,0.0,5.0,3.0,1.0,106.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,12.0
2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,31.0
6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,29.0
7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,18.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0
11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,21.0
