pc,var_frac,cumvar
1,0.24767285623167695,0.24767285623167695
2,0.23637659943498832,0.48404945566666524
3,0.12023450367703871,0.6042839593437039
4,0.09019910806996732,0.6944830674136713
5,0.06727570401559471,0.761758771429266
6,0.05755349130535453,0.8193122627346205
7,0.042628670665715275,0.8619409334003358
8,0.03141318511899199,0.8933541185193279
9,0.017269225518452214,0.9106233440377801
10,0.013653175612645384,0.9242765196504255
11,0.011313975868488316,0.9355904955189138
12,0.010073723535475237,0.945664219054389
