strain_id,well,cu,species,t_capture_h,t_onset_h,max_area,max_chroma,n_tp
1.0,2,0.0,Rhodotorula mucilaginosa,39.0,45.0,34628.0,9.924533495275226,20
1.0,2,5.0,Rhodotorula mucilaginosa,39.0,39.0,39413.0,13.996098848292556,20
1.0,2,10.0,Rhodotorula mucilaginosa,39.0,0.0,38565.0,11.32534178283378,20
1.0,2,15.0,Rhodotorula mucilaginosa,39.0,3.0,36534.0,10.768375725012362,19
1.0,2,20.0,Rhodotorula mucilaginosa,3.0,3.0,106213.0,16.720372874608543,19
1.0,2,25.0,Rhodotorula mucilaginosa,0.0,0.0,27255.0,17.35982216939415,20
1.0,2,30.0,Rhodotorula mucilaginosa,33.0,0.0,9205.0,17.177221514132814,31
1.0,18,0.0,Rhodotorula mucilaginosa,39.0,51.0,32628.0,11.072730903881162,20
1.0,18,5.0,Rhodotorula mucilaginosa,45.0,45.0,36776.0,12.03674212082927,20
1.0,18,10.0,Rhodotorula mucilaginosa,45.0,3.0,33764.0,11.045423790480433,19
1.0,18,15.0,Rhodotorula mucilaginosa,51.0,0.0,26136.0,15.789614959741414,17
1.0,18,20.0,Rhodotorula mucilaginosa,57.0,0.0,21928.0,16.777073546622518,19
1.0,18,25.0,Rhodotorula mucilaginosa,45.0,0.0,23145.0,17.765658697762742,22
1.0,18,30.0,Rhodotorula mucilaginosa,48.0,0.0,19767.0,17.21816495325531,39
1.0,66,0.0,Rhodotorula mucilaginosa,33.0,39.0,42607.0,12.059361397122126,20
1.0,66,5.0,Rhodotorula mucilaginosa,45.0,51.0,47339.0,11.55702231472309,20
1.0,66,10.0,Rhodotorula mucilaginosa,45.0,0.0,39960.0,10.384819323705273,20
1.0,66,15.0,Rhodotorula mucilaginosa,45.0,0.0,30048.0,13.590904923114692,20
1.0,66,20.0,Rhodotorula mucilaginosa,39.0,0.0,26953.0,17.069026674549555,32
1.0,66,25.0,Rhodotorula mucilaginosa,39.0,0.0,19942.0,17.321815838275203,25
1.0,66,30.0,Rhodotorula mucilaginosa,9.0,0.0,5592.0,17.195135543735823,45
1.0,92,0.0,Rhodotorula mucilaginosa,33.0,51.0,42941.0,9.741494694446905,20
1.0,92,5.0,Rhodotorula mucilaginosa,33.0,33.0,42783.0,13.235857154272988,20
1.0,92,10.0,Rhodotorula mucilaginosa,33.0,45.0,41350.0,10.749723953778016,20
