"scope","trait","n_tips","mantel_r_spearman","mantel_p_perm","blomberg_K_ref","pagel_lambda_ref","pagel_lambda_p_ref"
"all","slope_logchroma_per_mM",272,0.101022219474329,0.003,1.06943261073074e-07,0.870127969503409,1.61786039214082e-48
"all","intercept_logchroma",272,0.190105842830111,0.001,1.11239760879623e-07,0.842317000609265,5.32014253829336e-28
"all","l10med_fixed",266,0.425702124680596,0.001,2.1736940371829e-07,0.00423729657114775,0.772032945429592
"all","partial_slope_sd_cu",266,0.308716756195368,0.001,9.57839746530504e-08,0.833323369478039,1.53555034531834e-13
"all","pace_loglog",270,0.0579417264691149,0.071,1.97772404575921e-07,0.938886358274857,3.8790704962118e-44
"Rhodotorula mucilaginosa","slope_logchroma_per_mM",200,0.0184121997151591,0.291,3.73550913419048e-07,0.868265557774498,5.25085930929652e-36
"Rhodotorula mucilaginosa","intercept_logchroma",200,0.134204136775053,0.002,3.10382614632383e-07,0.840000122511442,7.18909913599033e-21
"Rhodotorula mucilaginosa","l10med_fixed",200,0.0772507375226346,0.027,1.71946633047556e-07,7.33137435857406e-05,1
"Rhodotorula mucilaginosa","partial_slope_sd_cu",200,0.0223213301087414,0.306,1.48066978477354e-07,0.833610438865859,1.22996658705147e-10
"Rhodotorula mucilaginosa","pace_loglog",200,-0.00769183574937041,0.542,6.46914645398594e-07,0.937700814837419,9.61940392336709e-33
