"strain_id","strain_code","tip_label","tiplab","species","origin","environment","species.sp","slope_logchroma_per_mM","intercept_logchroma","r2","l10med_fixed","partial_slope_sd_cu","pace_loglog"
1,"TFCN_17-291Y-1","Rhodotorula_mucilaginosa_TFCN_17-291Y-1.proteins","Rhodotorula_mucilaginosa_TFCN_17-291Y-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0250756709206092,2.54462125848527,0.543441700947651,4.41114841722323,-0.000140866521942728,0.431487628569857
2,"TFCN_134A-3","Rhodotorula_mucilaginosa_TFCN_134A-3.proteins","Rhodotorula_mucilaginosa_TFCN_134A-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0190466268820363,2.55979957239326,0.416184637667419,4.45716795684046,-0.00297546984098546,0.779909283853161
3,"TFCN_98A-5","Rhodotorula_mucilaginosa_TFCN_98A-5.proteins","Rhodotorula_mucilaginosa_TFCN_98A-5","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",0.00936436815696134,2.04950366189955,0.0322159451714878,4.44574519046277,-0.00914447567535713,0.236090669227437
4,"TFCN_102C-2","Rhodotorula_mucilaginosa_TFCN_102C-2.proteins","Rhodotorula_mucilaginosa_TFCN_102C-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0206703773157353,2.58410407427511,0.486273768237573,4.47656732436703,-0.00726825203588607,0.74055799092233
5,"TFCN_105A-2","Rhodotorula_mucilaginosa_TFCN_105A-2.proteins","Rhodotorula_mucilaginosa_TFCN_105A-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.016901348865518,2.49499189440986,0.269838895550218,4.45742100618454,0.0175983743241686,0.293237847098438
6,"TFCN_17-334Y-2","Rhodotorula_mucilaginosa_TFCN_17-334Y-2.proteins","Rhodotorula_mucilaginosa_TFCN_17-334Y-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0244878760937636,2.52099522968775,0.503864241951967,4.48329644817495,-0.00123179397896569,0.467020838090097
7,"TFCN_17-329Y-4","Rhodotorula_mucilaginosa_TFCN_17-329Y-4.proteins","Rhodotorula_mucilaginosa_TFCN_17-329Y-4","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.024512506092527,2.51909177980275,0.391508485713231,4.41147923259372,0.00543808103097885,0.304428848209448
8,"TFCN_107A-6","Rhodotorula_mucilaginosa_TFCN_107A-6.proteins","Rhodotorula_mucilaginosa_TFCN_107A-6","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0450540648809084,2.72817035234106,0.629265229017936,4.33381114690422,-0.00376219253357229,0.0880311916392002
9,"TFCN_17-390M-1","Rhodotorula_mucilaginosa_TFCN_17-390M-1.proteins","Rhodotorula_mucilaginosa_TFCN_17-390M-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0267283814306351,2.65663455982131,0.538954813741659,4.49697854748003,0.00361024003059067,0.532100654436147
10,"TFCN_86C-9","Rhodotorula_sphaerocarpa_TFCN_86C-9.proteins","Rhodotorula_sphaerocarpa_TFCN_86C-9","Rhodotorula sphaerocarpa","China","marsh_tidalflat","Rhodotorula sphaerocarpa",-0.00784771133976156,2.22020754510388,0.0161078118655071,4.22589383555583,0.0125928794997951,0.466579183201656
11,"TFCN_122C-2","Rhodotorula_mucilaginosa_TFCN_122C-2.proteins","Rhodotorula_mucilaginosa_TFCN_122C-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0108128626817148,2.37182369704937,0.346795450715828,4.57931458380093,0.000688779264985536,0.488926679818662
12,"TFCN_4M-1-3","Rhodotorula_mucilaginosa_TFCN_4M-1-3.proteins","Rhodotorula_mucilaginosa_TFCN_4M-1-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0113615733264623,2.5296450273605,0.410092267951027,4.55012650086875,0.00346374405242531,0.474970551629743
13,"TFCN_141C-2","Rhodotorula_mucilaginosa_TFCN_141C-2.proteins","Rhodotorula_mucilaginosa_TFCN_141C-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0121058972561482,2.53000642769793,0.538373946451044,4.50917653505626,0.0106217753622068,0.89314957632103
14,"TFCN_130D-4","Rhodotorula_mucilaginosa_TFCN_130D-4.proteins","Rhodotorula_mucilaginosa_TFCN_130D-4","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0233218285498318,2.54043580246202,0.431882886037634,4.4304635033543,-0.000851344137566397,0.390550222173781
15,"TFCN_3M-1-1","Rhodotorula_mucilaginosa_TFCN_3M-1-1.proteins","Rhodotorula_mucilaginosa_TFCN_3M-1-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0189474275317214,2.62654012743999,0.266218143824887,4.48349656364746,-0.00476197163689369,0.492139686163814
16,"TFCN_186DK3-2","Rhodotorula_sp._clade_XI_TFCN_186DK3-2.proteins","Rhodotorula_sp._clade_XI_TFCN_186DK3-2","Rhodotorula sp. clade XI","China","marsh_tidalflat","Rhodotorula sp. clade XI",-0.0111653737209478,2.39669320394776,0.232594158299026,4.44724516413442,-0.00448479785526097,0.379474506723845
17,"TFCN_7-9-3","Rhodotorula_diobovata_TFCN_7-9-3.proteins","Rhodotorula_diobovata_TFCN_7-9-3","Rhodotorula diobovata","China","marsh_tidalflat","Rhodotorula diobovata",-0.0336244942724961,2.5318419720402,0.451920490743333,4.26161059534239,0.0282209950609334,0.313774463990995
18,"TFCN_25-395P-1","Rhodotorula_mucilaginosa_TFCN_25-395P-1.proteins","Rhodotorula_mucilaginosa_TFCN_25-395P-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.027486955739701,2.49666412155045,0.391941991264381,4.40781544160021,0.000217030666771699,0.5187549517584
19,"TFCN_152A-12","Rhodotorula_mucilaginosa_TFCN_152A-12.proteins","Rhodotorula_mucilaginosa_TFCN_152A-12","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0132427394411934,2.55316494035567,0.609109962505304,4.50253146496677,-0.00385338384135048,0.49045435530293
20,"TFCN_102D-1","Rhodotorula_mucilaginosa_TFCN_102D-1.proteins","Rhodotorula_mucilaginosa_TFCN_102D-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0154743335984171,2.31910685348841,0.0696425114013716,4.38599095324386,-0.0100505392211313,0.744901075339039
21,"TFCN_4M-1-2","Rhodotorula_mucilaginosa_TFCN_4M-1-2.proteins","Rhodotorula_mucilaginosa_TFCN_4M-1-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0323429674394821,2.55846278657646,0.610487576230305,4.32014167836296,0.0213305025521853,0.895872247553421
22,"TFCN_209-6-11","Rhodotorula_mucilaginosa_TFCN_209-6-11.proteins","Rhodotorula_mucilaginosa_TFCN_209-6-11","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0276543956834161,2.5404964979764,0.39344942692886,4.35949928051468,0.00889351558826844,0.219208253334188
23,"TFCN_110C-1","Rhodotorula_mucilaginosa_TFCN_110C-1.proteins","Rhodotorula_mucilaginosa_TFCN_110C-1","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.00152770419623485,2.05362249974339,0.00106418473792474,3.5657068878611,-0.013335269151939,0.376479143022467
24,"TFCN_17-337P-5","Rhodotorula_mucilaginosa_TFCN_17-337P-5.proteins","Rhodotorula_mucilaginosa_TFCN_17-337P-5","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0165659785396088,2.58156815764484,0.590634540092676,4.59737308100025,0.0024330574423815,0.470881537950219
25,"TFCN_137C-3","Rhodotorula_mucilaginosa_TFCN_137C-3.proteins","Rhodotorula_mucilaginosa_TFCN_137C-3","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.00419574765901874,2.15158570440951,0.00626686369621936,4.43027656683662,0.00210170927806687,0.602179787617773
26,"TFCN_212C-2","Rhodotorula_mucilaginosa_TFCN_212C-2.proteins","Rhodotorula_mucilaginosa_TFCN_212C-2","Rhodotorula mucilaginosa","China","marsh_tidalflat","Rhodotorula mucilaginosa",-0.0206297691158628,2.54333601387071,0.421377808760683,4.48955227374143,0.00609034612143981,0.767017501203549
