trait,species,n,mean,median,sd,cv_pct,iqr,range
slope_logchroma_per_mM,Rhodotorula dairenensis,8,-0.008855430505360626,-0.0108737797420039,0.008092030118672796,91.37929673519875,0.008706303366709273,0.0263795691425575
slope_logchroma_per_mM,Rhodotorula diobovata,10,-0.027161311444394563,-0.02789774166989615,0.014226681903779442,52.378479341488074,0.016110706773143423,0.049034809395794
slope_logchroma_per_mM,Rhodotorula graminis,4,-0.030358608090055774,-0.0311228327577034,0.019935569097680426,65.66694045571376,0.013094899415553522,0.0487692617966145
slope_logchroma_per_mM,Rhodotorula kratochvilovae,3,-0.02205744489215643,-0.0221517957152863,0.016838755315010938,76.34046190453707,0.016838557064084797,0.0336771141281696
slope_logchroma_per_mM,Rhodotorula mucilaginosa,215,-0.02168013418353074,-0.020668684585331,0.012074681113891927,55.694678878253576,0.0158893275085851,0.08382023933230451
slope_logchroma_per_mM,Rhodotorula pacifica,3,-0.019570827099730334,-0.0215493144941159,0.004954503026661347,25.315756975491414,0.004648794571057054,0.0092975891421141
slope_logchroma_per_mM,Rhodotorula paludigena,16,-0.022400504441794263,-0.01916942129190135,0.011501658076367513,51.34553155378067,0.013675339846257125,0.0434327548166297
slope_logchroma_per_mM,Rhodotorula sp. clade I,8,-0.01565321192824695,-0.0175062238577249,0.018436903015297663,117.7835136955337,0.026746954772426824,0.050207783394032895
slope_logchroma_per_mM,Rhodotorula sphaerocarpa,8,-0.00921997754890845,-0.01200793163250095,0.01231665999092854,133.58665924719853,0.012821754935006502,0.0362086251660867
slope_logchroma_per_mM,Rhodotorula taiwanensis,6,-0.036223773294796514,-0.03233395208752555,0.010889295077320808,30.061183821744592,0.017361080723511925,0.024649698573695398
slope_logchroma_per_mM,Rhodotorula toruloides,10,-0.03463612694322592,-0.04051513822688995,0.012025986131814338,34.72093213980544,0.014498111775167827,0.0327351009712239
intercept_logchroma,Rhodotorula dairenensis,8,2.482887715217706,2.523921149659348,0.30831891457422517,12.417755047259195,0.22344240515762692,1.0064079426935493
intercept_logchroma,Rhodotorula diobovata,10,2.474661966365474,2.5175325942987135,0.20042484219929368,8.099079588379372,0.26272030916421807,0.6144208551026482
intercept_logchroma,Rhodotorula graminis,4,2.4145829642390115,2.4426411767237157,0.2602788330577272,10.779452887416424,0.20928018083086997,0.6287677464653729
intercept_logchroma,Rhodotorula kratochvilovae,3,2.2935140293727128,2.22220625066153,0.2325195263496977,10.138134032399746,0.224168977905832,0.44833795581166447
intercept_logchroma,Rhodotorula mucilaginosa,215,2.52764113103494,2.5531649403556687,0.19539841907463218,7.730465241900321,0.19669524593572607,1.5171466337333346
intercept_logchroma,Rhodotorula pacifica,3,2.5182373312927524,2.5021968693354237,0.030149147328026454,1.1972321652681246,0.026758153332277157,0.05351630666455476
intercept_logchroma,Rhodotorula paludigena,16,2.452394251147942,2.5085311592419997,0.2706843727409428,11.037555344710096,0.34997147854912525,1.081910534843331
intercept_logchroma,Rhodotorula sp. clade I,8,2.4002592624588126,2.5513684069098193,0.295821755354809,12.32457509826546,0.4935210123115623,0.7186124304221535
intercept_logchroma,Rhodotorula sphaerocarpa,8,2.337798536171036,2.341640808165767,0.3196677813061206,13.67388063428633,0.41110404217537067,0.8799195426938164
intercept_logchroma,Rhodotorula taiwanensis,6,2.737916135163429,2.7164588056640016,0.07337680244311072,2.6800237414405235,0.05224156594986207,0.20536226847849326
intercept_logchroma,Rhodotorula toruloides,10,2.387670886513826,2.3580121525232354,0.23793004658678335,9.964943155720201,0.33424924206115714,0.7670016580861658
l10med_fixed,Rhodotorula dairenensis,8,4.454658163396805,4.5078355103451795,0.18794368687192575,4.2190372409768315,0.19407357349668342,0.500853009226609
l10med_fixed,Rhodotorula diobovata,10,4.1038999682123265,4.227102877223821,0.36136682862798214,8.805449241624542,0.13560048242694123,1.1678874435386914
l10med_fixed,Rhodotorula graminis,3,4.0269066879215005,4.231209140050632,0.5335229560357538,13.24895254305317,0.5033310298974691,1.0066620597949383
l10med_fixed,Rhodotorula kratochvilovae,3,3.7454030912409872,3.698120279911177,0.12085739221702457,3.2268193642404497,0.1137091072344778,0.22741821446895516
l10med_fixed,Rhodotorula mucilaginosa,215,4.463936230199273,4.491239155034826,0.14328990302651387,3.209945116534904,0.13964291994279954,1.3013614115977243
l10med_fixed,Rhodotorula pacifica,3,4.475306229627617,4.463279169784333,0.0242454921822372,0.5417616345832637,0.021894206192585308,0.043788412385171505
l10med_fixed,Rhodotorula paludigena,12,3.927917373062632,4.112516622994735,0.5258306421580813,13.38700874321311,0.843393294089311,1.4570065743965541
