n_samples,alpha,alpha_label,min_detectable_R2
100,5e-08,genome-wide 5e-8,0.28367269702907894
100,1e-06,exome 1e-6,0.24738617381937078
100,0.0001,candidate 1e-4,0.182965423840258
150,5e-08,genome-wide 5e-8,0.20886488658330565
150,1e-06,exome 1e-6,0.1797463715879316
150,0.0001,candidate 1e-4,0.12989930999688432
202,5e-08,genome-wide 5e-8,0.1639107076137823
202,1e-06,exome 1e-6,0.13995073698641963
202,0.0001,candidate 1e-4,0.09979703940890072
250,5e-08,genome-wide 5e-8,0.13674327980061746
250,1e-06,exome 1e-6,0.11620262288585201
250,0.0001,candidate 1e-4,0.08221126039800036
272,5e-08,genome-wide 5e-8,0.12708877849594463
272,1e-06,exome 1e-6,0.10781722758637868
272,0.0001,candidate 1e-4,0.07606762735643441
400,5e-08,genome-wide 5e-8,0.09008393990012523
400,1e-06,exome 1e-6,0.07593560811623451
400,0.0001,candidate 1e-4,0.05301649507964343
