Batch Number,Concentration (mM),Replicate
1,0,1
2,5,1
3,10,1
4,15,1
5,20,1
6,25,1
7,30,1
8,0,1
9,5,1
10,10,1
11,15,1
12,20,1
13,25,1
14,30,1
15,0,1
16,5,1
17,10,1
18,15,1
19,20,1
20,25,1
21,30,1
22,0,1
23,5,1
24,10,1
25,15,1
26,20,1
27,25,1
28,30,1
29,0,2
30,5,2
31,10,2
32,15,2
33,20,2
34,25,2
35,30,2
36,0,2
37,5,2
38,10,2
39,15,2
40,20,2
41,25,2
42,30,2
43,0,2
44,5,2
45,10,2
46,15,2
47,20,2
48,25,2
49,30,2
50,0,2
51,5,2
52,10,2
53,15,2
54,20,2
55,25,2
56,30,2
57,0,3
58,5,3
59,10,3
60,15,3
61,20,3
62,25,3
63,30,3
64,0,3
65,5,3
66,10,3
67,15,3
68,20,3
69,25,3
70,30,3
71,0,3
72,5,3
73,10,3
74,15,3
75,20,3
76,25,3
77,30,3
78,0,3
79,5,3
80,10,3
81,15,3
82,20,3
83,25,3
84,30,3
85,0,4
86,5,4
87,10,4
88,15,4
89,20,4
90,25,4
91,30,4
92,0,4
93,5,4
94,10,4
95,15,4
96,20,4
97,25,4
98,30,4
99,0,4
100,5,4
101,10,4
102,15,4
103,20,4
104,25,4
105,30,4
106,0,4
107,5,4
108,10,4
109,15,4
110,20,4
111,25,4
112,30,4
113,Control,Control
114,Control,Control
115,Control,Control
116,Control,Control
117,Control,Control
118,Control,Control
119,Control,Control
120,Control,Control
