Index,Strain ID,Strain Name,Strain,Species,Origin,Environment,Run Number,Library Plate,Configuration,Well position,Incubation Temp (°C),Time stamped,Media
1,1.0,17-291Y-1 BY126-B8,TFCN_17-291Y-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,2.0,30.0,,YPDN
2,2.0,134A-3 BY30-D2,TFCN_134A-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,3.0,30.0,,YPDN
3,3.0,98A-5,TFCN_98A-5,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,4.0,30.0,,YPDN
4,4.0,102C-2,TFCN_102C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,5.0,30.0,,YPDN
5,5.0,105A-2,TFCN_105A-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,6.0,30.0,,YPDN
6,6.0,17-334Y-2 BY116-B9,TFCN_17-334Y-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,7.0,30.0,,YPDN
7,7.0,17-329Y-4 BY115-H8,TFCN_17-329Y-4,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,8.0,30.0,,YPDN
8,8.0,107A-6 BY31-B6,TFCN_107A-6,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,9.0,30.0,,YPDN
9,9.0,17-390M-1 BY126-D7,TFCN_17-390M-1,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,10.0,30.0,,YPDN
10,10.0,86C-9 BY34-B2,TFCN_86C-9,Rhodotorula sphaerocarpa,China,marsh_tidalflat,353.0,1.0,1.0,12.0,30.0,,YPDN
11,11.0,122C-2  BY31-A2,TFCN_122C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,13.0,30.0,,YPDN
12,12.0,4M-1-3,TFCN_4M-1-3,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,14.0,30.0,,YPDN
13,13.0,141C-2 BY30-H4,TFCN_141C-2,Rhodotorula mucilaginosa,China,marsh_tidalflat,353.0,1.0,1.0,15.0,30.0,,YPDN
